Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,FRA,France,2001,All,Age_all,[All],160157.00000000,30.15730447,120.39696850,270.56930785,
EU,Europe,FRA,France,2002,All,Age_all,[All],158095.00000000,29.54273648,117.75436205,264.91224534,
EU,Europe,FRA,France,2003,All,Age_all,[All],159804.00000000,28.93244136,117.48877971,265.65438588,
EU,Europe,FRA,France,2004,All,Age_all,[All],147322.00000000,28.91961234,106.60365707,242.93200438,
EU,Europe,FRA,France,2005,All,Age_all,[All],149836.00000000,28.40406736,104.80716133,245.64925344,
EU,Europe,FRA,France,2006,All,Age_all,[All],145453.00000000,28.19118833,97.50854409,236.13403903,
EU,Europe,FRA,France,2007,All,Age_all,[All],145272.00000000,27.90820982,93.52184451,234.44854659,
EU,Europe,FRA,France,2008,All,Age_all,[All],146663.00000000,27.54369227,91.38274783,235.39583763,
EU,Europe,FRA,France,2009,All,Age_all,[All],144842.00000000,26.96254819,87.33823221,231.31824714,
EU,Europe,FRA,France,2010,All,Age_all,[All],143144.00000000,26.43100876,83.51001180,227.45697095,
EU,Europe,FRA,France,2011,All,Age_all,[All],138684.00000000,25.84360115,78.52397530,219.35186620,
EU,Europe,FRA,France,2012,All,Age_all,[All],141337.00000000,25.30871051,77.15068512,222.51110481,
EU,Europe,FRA,France,2013,All,Age_all,[All],138894.00000000,24.97954251,74.09363564,217.76440227,
EU,Europe,FRA,France,2014,All,Age_all,[All],136190.00000000,25.00651833,70.93563285,212.36721630,
EU,Europe,FRA,France,2015,All,Age_all,[All],142014.00000000,24.48977480,71.84105447,220.33661634,
EU,Europe,FRA,France,2016,All,Age_all,[All],140480.00000000,24.24208957,69.30401140,217.23399150,
EU,Europe,DEU,Germany,2000,All,Age_all,[All],395043.00000000,47.09637731,215.06265674,480.66001770,
EU,Europe,DEU,Germany,2001,All,Age_all,[All],391728.00000000,47.27925353,209.78607243,475.74576259,
EU,Europe,DEU,Germany,2002,All,Age_all,[All],393778.00000000,46.78443030,209.12197859,477.40904053,
EU,Europe,DEU,Germany,2003,All,Age_all,[All],396622.00000000,46.44579400,209.81191430,480.63639612,
EU,Europe,DEU,Germany,2004,All,Age_all,[All],368472.00000000,45.03055834,192.45210377,446.62583029,
EU,Europe,DEU,Germany,2005,All,Age_all,[All],367361.00000000,44.24825981,185.77330461,445.47859375,
EU,Europe,DEU,Germany,2006,All,Age_all,[All],358953.00000000,43.68807257,175.27657360,435.80339949,
EU,Europe,DEU,Germany,2007,All,Age_all,[All],358684.00000000,43.36357756,169.63908380,436.02295195,
EU,Europe,DEU,Germany,2008,All,Age_all,[All],356729.00000000,42.24449605,163.34211820,434.40084396,
EU,Europe,DEU,Germany,2009,All,Age_all,[All],356462.00000000,41.71370930,158.88637095,435.37465815,
EU,Europe,DEU,Germany,2010,All,Age_all,[All],352689.00000000,41.06918283,152.61641637,431.38442969,
EU,Europe,DEU,Germany,2011,All,Age_all,[All],342233.00000000,40.15273463,143.62060245,418.48411106,
EU,Europe,DEU,Germany,2012,All,Age_all,[All],349217.00000000,40.15917993,142.56642521,426.30407876,
EU,Europe,DEU,Germany,2013,All,Age_all,[All],354493.00000000,39.66022432,145.48692511,439.56890149,
EU,Europe,DEU,Germany,2014,All,Age_all,[All],338056.00000000,38.93057686,135.62076016,417.44327478,
