Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/26/2022 4:01:42 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BEL,Belgium,2008,All,Age_all,[All],33142.00000000,31.94101773,126.94927431,309.44989310,
EU,Europe,BEL,Belgium,2009,All,Age_all,[All],32599.00000000,31.40074748,121.26750197,301.94063943,
EU,Europe,BEL,Belgium,2010,All,Age_all,[All],32190.00000000,30.61282715,117.09027076,296.95832205,
EU,Europe,BEL,Belgium,2011,All,Age_all,[All],31008.00000000,29.73190657,109.42320786,281.87456037,
EU,Europe,BEL,Belgium,2012,All,Age_all,[All],31456.00000000,28.83860794,107.25552840,283.51892995,
EU,Europe,BEL,Belgium,2013,All,Age_all,[All],31314.00000000,28.64067902,103.95496965,280.12863338,
EU,Europe,BEL,Belgium,2014,All,Age_all,[All],29964.00000000,28.60388526,97.00571336,266.88558576,
EU,Europe,BEL,Belgium,2015,All,Age_all,[All],31342.00000000,28.35328068,99.18512523,278.20399271,
EU,Europe,BEL,Belgium,2016,All,Age_all,[All],29940.00000000,27.69734590,92.97120251,263.73605465,
EU,Europe,BEL,Belgium,2017,All,Age_all,[All],29702.00000000,27.08405522,90.82223447,261.11262708,
EU,Europe,BEL,Belgium,2018,All,Age_all,[All],28655.00000000,25.88691245,86.02336392,250.76423804,
CSA,Central and South America,BLZ,Belize,2000,All,Age_all,[All],622.00000000,40.54758801,518.60928959,251.50112205,
CSA,Central and South America,BLZ,Belize,2001,All,Age_all,[All],290.00000000,22.99762094,233.46510452,113.69740025,
CSA,Central and South America,BLZ,Belize,2002,All,Age_all,[All],301.00000000,23.44236760,240.07276044,114.71998415,
CSA,Central and South America,BLZ,Belize,2003,All,Age_all,[All],325.00000000,25.45027408,261.64844050,120.62726176,
CSA,Central and South America,BLZ,Belize,2004,All,Age_all,[All],307.00000000,23.65177196,251.94214693,111.02913520,
CSA,Central and South America,BLZ,Belize,2005,All,Age_all,[All],314.00000000,22.93644996,257.59126475,110.64129669,
CSA,Central and South America,BLZ,Belize,2006,All,Age_all,[All],315.00000000,22.58064516,246.64367415,108.12517806,
CSA,Central and South America,BLZ,Belize,2007,All,Age_all,[All],324.00000000,23.37662338,232.13118327,108.35214447,
CSA,Central and South America,BLZ,Belize,2008,All,Age_all,[All],281.00000000,21.59877018,195.60445446,91.58374698,
CSA,Central and South America,BLZ,Belize,2009,All,Age_all,[All],341.00000000,23.46868548,229.04700221,108.37266212,
CSA,Central and South America,BLZ,Belize,2010,All,Age_all,[All],326.00000000,20.93770071,199.51876588,101.09655651,
CSA,Central and South America,BLZ,Belize,2011,All,Age_all,[All],339.00000000,21.80064309,188.01442420,102.65354881,
CSA,Central and South America,BLZ,Belize,2012,All,Age_all,[All],347.00000000,22.59114583,181.48393925,102.66272189,
CSA,Central and South America,BLZ,Belize,2013,All,Age_all,[All],335.00000000,20.79453755,165.86605643,96.90062624,
CSA,Central and South America,BLZ,Belize,2014,All,Age_all,[All],368.00000000,23.18840580,173.33582051,104.14131524,
CSA,Central and South America,BLZ,Belize,2015,All,Age_all,[All],397.00000000,22.40406321,177.71636006,109.99271333,
CSA,Central and South America,BLZ,Belize,2016,All,Age_all,[All],401.00000000,22.25305216,172.09563186,108.84907709,
EU,Europe,BIH,Bosnia and Herzegovina,2011,All,Age_all,[All],18396.00000000,52.51798561,320.89945291,479.09531304,
EU,Europe,BIH,Bosnia and Herzegovina,2014,All,Age_all,[All],17906.00000000,49.76653696,279.22669359,467.84414148,
EU,Europe,BIH,Bosnia and Herzegovina,2016,All,Age_all,[All],18927.00000000,51.75412212,329.44721545,539.02007534,
EU,Europe,BIH,Bosnia and Herzegovina,2017,All,Age_all,[All],19142.00000000,50.40153769,300.38215070,571.14298715,
EU,Europe,BIH,Bosnia and Herzegovina,2018,All,Age_all,[All],18793.00000000,49.79069521,290.56927991,565.38580142,
EU,Europe,BIH,Bosnia and Herzegovina,2019,All,Age_all,[All],16619.00000000,42.80048417,251.92136936,503.45349894,
EU,Europe,BIH,Bosnia and Herzegovina,2020,All,Age_all,[All],18122.00000000,40.79051028,267.74305801,552.36207788,
CSA,Central and South America,BRA,Brazil,2000,All,Age_all,[All],260553.00000000,27.53122124,227.87211165,149.06601818,
CSA,Central and South America,BRA,Brazil,2001,All,Age_all,[All],263396.00000000,27.39479262,220.64335917,148.64665101,
CSA,Central and South America,BRA,Brazil,2002,All,Age_all,[All],267475.00000000,27.21577462,215.69031224,148.98000151,
CSA,Central and South America,BRA,Brazil,2003,All,Age_all,[All],274058.00000000,27.34258395,212.65183404,150.73930838,
CSA,Central and South America,BRA,Brazil,2004,All,Age_all,[All],285538.00000000,27.88269150,213.84516628,155.17822984,
CSA,Central and South America,BRA,Brazil,2005,All,Age_all,[All],283913.00000000,28.19878688,205.85777379,152.53716166,
CSA,Central and South America,BRA,Brazil,2006,All,Age_all,[All],302819.00000000,29.35157256,209.98774621,160.93067705,
CSA,Central and South America,BRA,Brazil,2007,All,Age_all,[All],308467.00000000,29.43873368,204.98192478,162.23966827,
CSA,Central and South America,BRA,Brazil,2008,All,Age_all,[All],316850.00000000,29.47055316,202.27616765,164.99994933,
CSA,Central and South America,BRA,Brazil,2009,All,Age_all,[All],320074.00000000,29.01618003,196.87230632,165.08317330,
CSA,Central and South America,BRA,Brazil,2010,All,Age_all,[All],326371.00000000,28.70593678,193.46474398,166.75945955,
CSA,Central and South America,BRA,Brazil,2011,All,Age_all,[All],335209.00000000,28.63815231,189.59349769,169.71358503,
